symbol,news_type,timestamp,title,description,source,url,published_at,data_source,related_to,sent_at
AAPL,company,2025-10-17T15:00:00,Apple Reports Record Q4 Revenue Driven by iPhone 17 Sales,"Apple Inc. reported record fourth-quarter revenue of $94.9 billion, up 6% year over year, driven by strong iPhone 16 sales and services growth.",Reuters,https://example.com/apple-q4-2025,2025-10-17T14:30:00,FMP,,2025-10-17T15:00:00
AAPL,company,2025-10-17T15:15:00,Apple Vision Pro 2 Launch Expected in Early 2026,Sources close to Apple suggest the company is preparing to launch Vision Pro 2 with improved displays and reduced weight in Q1 2026.,Bloomberg,https://example.com/vision-pro-2,2025-10-17T15:00:00,FMP,,2025-10-17T15:15:00
AAPL,company,2025-10-20T09:30:00,Apple Stock Rises 3% on Strong iPhone Demand Data,Apple shares climbed 3% in early trading following reports of stronger-than-expected iPhone 16 Pro demand in China.,MarketWatch,https://example.com/aapl-rises,2025-10-20T09:15:00,FMP,,2025-10-20T09:30:00
AAPL,company,2025-10-20T10:15:00,Apple Expands Manufacturing in India with New Chennai Facility,"Apple announced plans to open a new manufacturing facility in Chennai, India, expanding its supply chain diversification strategy.",Economic Times,https://example.com/apple-india,2025-10-20T10:00:00,FMP,,2025-10-20T10:15:00
AAPL,company,2025-10-20T11:15:00,Apple Services Revenue Hits All-Time High of $25 Billion,"Apple's services segment, including App Store and Apple Music, generated record revenue of $25 billion in Q4 2025.",AppleInsider,https://example.com/apple-services,2025-10-20T11:00:00,FMP,,2025-10-20T11:15:00
AAPL,company,2025-10-20T11:45:00,Apple Pay Later Reaches 50 Million Active Users,"Apple's buy-now-pay-later service has reached 50 million active users in the US, gaining market share from Affirm and Klarna.",Fintech Times,https://example.com/apple-pay-later,2025-10-20T11:30:00,FMP,,2025-10-20T11:45:00
AAPL,company,2025-10-20T12:30:00,Apple M4 Max Chip Benchmarks Show 40% Performance Gain,Early benchmarks of Apple's M4 Max chip reveal a 40% improvement in multi-core performance over M3 Max.,Tom's Hardware,https://example.com/m4-max-benchmarks,2025-10-20T12:15:00,FMP,,2025-10-20T12:30:00
GOOGL,company,2025-10-17T15:30:00,Google Cloud Revenue Surges 35% as AI Adoption Accelerates,Alphabet's Google Cloud division reported a 35% revenue increase driven by enterprise AI workloads and Gemini API adoption.,CNBC,https://example.com/google-cloud-q4,2025-10-17T15:15:00,FMP,,2025-10-17T15:30:00
AAPL,sector,2025-10-17T15:45:00,Samsung Announces Galaxy S25 with Advanced AI Features,"Samsung unveiled the Galaxy S25 series featuring on-device AI capabilities, intensifying competition with Apple's iPhone lineup.",TechCrunch,https://example.com/samsung-s25,2025-10-17T15:30:00,FMP,Samsung,2025-10-17T15:45:00
GOOGL,company,2025-10-17T16:00:00,YouTube Premium Subscribers Hit 100 Million Milestone,"YouTube announced that its Premium subscription service has surpassed 100 million subscribers globally, boosting Alphabet's services revenue.",Variety,https://example.com/youtube-100m,2025-10-17T15:45:00,FMP,,2025-10-17T16:00:00
GLOBAL,global,2025-10-20T09:45:00,Fed Signals Potential Rate Cut in December Meeting,"Federal Reserve officials indicated openness to a December rate cut if inflation continues to moderate, boosting tech stocks.",WSJ,https://example.com/fed-rate-cut,2025-10-20T09:30:00,FMP,GLOBAL,2025-10-20T09:45:00
GOOGL,sector,2025-10-20T10:00:00,Microsoft Azure Reports 29% Growth Amid AI Competition,"Microsoft's Azure cloud platform reported 29% revenue growth, maintaining pressure on Google Cloud in the enterprise market.",Financial Times,https://example.com/azure-growth,2025-10-20T09:45:00,FMP,MSFT,2025-10-20T10:00:00
AAPL,sector,2025-10-20T10:30:00,Qualcomm Unveils Snapdragon 8 Elite Chip for Premium Smartphones,"Qualcomm announced its Snapdragon 8 Elite processor, challenging Apple's A18 Pro chip in performance benchmarks.",The Verge,https://example.com/snapdragon-8-elite,2025-10-20T10:15:00,FMP,QCOM,2025-10-20T10:30:00
GOOGL,company,2025-10-20T10:45:00,Google DeepMind Achieves Breakthrough in Protein Structure Prediction,"DeepMind researchers announced significant improvements in AlphaFold 3, enabling faster drug discovery applications.",Nature,https://example.com/alphafold-3,2025-10-20T10:30:00,FMP,,2025-10-20T10:45:00
GLOBAL,global,2025-10-20T11:00:00,US GDP Growth Exceeds Expectations at 3.1% in Q3,"The US economy grew at an annualized rate of 3.1% in Q3 2025, beating economist expectations and supporting equity markets.",Bloomberg,https://example.com/us-gdp-q3,2025-10-20T10:45:00,FMP,GLOBAL,2025-10-20T11:00:00
GOOGL,company,2025-10-20T11:30:00,Waymo Expands Autonomous Taxi Service to Miami and Atlanta,"Alphabet's Waymo announced expansion of its robotaxi service to Miami and Atlanta, accelerating its autonomous vehicle deployment.",Automotive News,https://example.com/waymo-expansion,2025-10-20T11:15:00,FMP,,2025-10-20T11:30:00
GOOGL,sector,2025-10-20T12:00:00,OpenAI Launches GPT-5 with Enhanced Reasoning Capabilities,"OpenAI released GPT-5 with significant improvements in reasoning and multimodal understanding, intensifying AI competition with Google.",Wired,https://example.com/gpt-5-launch,2025-10-20T11:45:00,FMP,OpenAI,2025-10-20T12:00:00
GLOBAL,global,2025-10-20T12:15:00,S&P 500 Reaches New All-Time High on Strong Earnings,"The S&P 500 index hit a new record high, driven by better-than-expected earnings from technology and financial sectors.",Reuters,https://example.com/sp500-ath,2025-10-20T12:00:00,FMP,GLOBAL,2025-10-20T12:15:00
GOOGL,company,2025-10-20T12:45:00,Google Workspace Adds AI-Powered Meeting Summaries,Google announced new AI features for Workspace including automatic meeting summaries and action item extraction.,9to5Google,https://example.com/workspace-ai,2025-10-20T12:30:00,FMP,,2025-10-20T12:45:00
AAPL,sector,2025-10-20T13:00:00,TSMC Reports Strong Demand for 3nm Chips from Apple,"Taiwan Semiconductor reported record demand for its 3nm process, with Apple accounting for majority of orders.",DigiTimes,https://example.com/tsmc-3nm,2025-10-20T12:45:00,FMP,TSM,2025-10-20T13:00:00
GOOGL,company,2025-10-20T13:15:00,Alphabet Board Approves $50 Billion Stock Buyback Program,"Alphabet's board of directors approved a new $50 billion share repurchase program, signaling confidence in future growth.",Investor's Business Daily,https://example.com/googl-buyback,2025-10-20T13:00:00,FMP,,2025-10-20T13:15:00
GLOBAL,global,2025-10-20T13:30:00,Oil Prices Drop 5% on Middle East Ceasefire Hopes,"Crude oil prices fell 5% following reports of potential ceasefire negotiations in the Middle East, easing supply concerns.",CNBC,https://example.com/oil-drop,2025-10-20T13:15:00,FMP,GLOBAL,2025-10-20T13:30:00
AAPL,company,2025-10-20T13:45:00,Apple Watch Series 10 Leads Global Smartwatch Market,"Apple Watch Series 10 captured 55% of global smartwatch shipments in Q3 2025, extending Apple's market dominance.",IDC,https://example.com/apple-watch-share,2025-10-20T13:30:00,FMP,,2025-10-20T13:45:00
GOOGL,company,2025-10-20T14:00:00,Google Search Maintains 91% Market Share Despite AI Competition,"Despite increased competition from AI chatbots, Google Search maintained a 91% market share in global search queries.",StatCounter,https://example.com/google-search-share,2025-10-20T13:45:00,FMP,,2025-10-20T14:00:00
AAPL,company,2025-10-20T14:15:00,Apple Announces Sustainability Goals: Carbon Neutral by 2030,Apple reaffirmed its commitment to becoming carbon neutral across its entire supply chain by 2030.,Apple Newsroom,https://example.com/apple-sustainability,2025-10-20T14:00:00,FMP,,2025-10-20T14:15:00
GOOGL,sector,2025-10-20T14:30:00,Meta AI Assistant Reaches 500 Million Monthly Users,"Meta reported that its AI assistant has reached 500 million monthly active users, competing directly with Google's Gemini.",The Information,https://example.com/meta-ai-users,2025-10-20T14:15:00,FMP,META,2025-10-20T14:30:00
GLOBAL,global,2025-10-20T14:45:00,Treasury Yields Fall as Markets Price in Rate Cuts,10-year Treasury yields dropped to 4.1% as bond markets increased bets on Federal Reserve rate cuts in 2026.,Bloomberg,https://example.com/treasury-yields,2025-10-20T14:30:00,FMP,GLOBAL,2025-10-20T14:45:00
AAPL,company,2025-10-20T15:00:00,Apple Intelligence Features Roll Out Globally,"Apple began global rollout of Apple Intelligence features, including enhanced Siri capabilities and on-device AI processing.",MacRumors,https://example.com/apple-intelligence-global,2025-10-20T14:45:00,FMP,,2025-10-20T15:00:00
GOOGL,company,2025-10-20T15:15:00,Google Pixel 9 Pro Achieves Record Sales in First Month,"Google's Pixel 9 Pro smartphone achieved record first-month sales, with demand exceeding company expectations.",Android Authority,https://example.com/pixel-9-sales,2025-10-20T15:00:00,FMP,,2025-10-20T15:15:00
AAPL,sector,2025-10-20T15:30:00,Intel Announces Layoffs as Chip Competition Intensifies,Intel announced 15000 job cuts as the company faces increased competition from Apple Silicon and AMD processors.,WSJ,https://example.com/intel-layoffs,2025-10-20T15:15:00,FMP,INTC,2025-10-20T15:30:00
